Year,Country,Count
1948,USA_Canada,336
1949,USA_Canada,659
1950,USA_Canada,888
1951,USA_Canada,618
1952,USA_Canada,353
1953,USA_Canada,234
1954,USA_Canada,349
1955,USA_Canada,380
1956,USA_Canada,209
1957,USA_Canada,313
1958,USA_Canada,409
1959,USA_Canada,379
1960,USA_Canada,462
1961,USA_Canada,348
1962,USA_Canada,677
1963,USA_Canada,968
1964,USA_Canada,1122
1965,USA_Canada,1016
1966,USA_Canada,826
1967,USA_Canada,739
1968,USA_Canada,1035
1969,USA_Canada,6419
1970,USA_Canada,7158
1971,USA_Canada,8122
1972,USA_Canada,6034
1973,USA_Canada,4786
1974,USA_Canada,3393
1975,USA_Canada,3065
1976,USA_Canada,2979
1977,USA_Canada,2906
1978,USA_Canada,3285
1979,USA_Canada,3273
1980,USA_Canada,2550
1981,USA_Canada,2670
1982,USA_Canada,2934
1983,USA_Canada,3806
1984,USA_Canada,2827
1985,USA_Canada,2090
1986,USA_Canada,2179
1987,USA_Canada,1986
1988,USA_Canada,1700
1989,USA_Canada,1533
1990,USA_Canada,1546
1991,USA_Canada,1703
1992,USA_Canada,2068
1993,USA_Canada,2280
1994,USA_Canada,2398
1995,USA_Canada,2503
1996,USA_Canada,2262
1997,USA_Canada,2057
1998,USA_Canada,1793
1999,USA_Canada,1697
2000,USA_Canada,1401
2001,USA_Canada,1386
2002,USA_Canada,1664
2003,USA_Canada,1873
2004,USA_Canada,2132
2005,USA_Canada,2640
2006,USA_Canada,2095
2007,USA_Canada,1903
2008,USA_Canada,2286
2009,USA_Canada,3260
2010,USA_Canada,2801
2011,USA_Canada,2575
2012,USA_Canada,2525
2013,USA_Canada,2414
2014,USA_Canada,2349
2015,USA_Canada,2789
2016,USA_Canada,2569
2017,USA_Canada,2847
2018,USA_Canada,2759
2019,USA_Canada,2481
2020,USA_Canada,2284
2021,USA_Canada,4400
2022,USA_Canada,3351
1948,FSU,1175
1949,FSU,3255
1950,FSU,290
1951,FSU,196
1952,FSU,74
1953,FSU,45
1954,FSU,30
1955,FSU,139
1956,FSU,470
1957,FSU,1324
1958,FSU,729
1959,FSU,1362
1960,FSU,1923
1961,FSU,224
1962,FSU,194
1963,FSU,314
1964,FSU,541
1965,FSU,895
1966,FSU,2054
1967,FSU,1403
1968,FSU,224
1969,FSU,3019
1970,FSU,992
1971,FSU,12839
1972,FSU,31652
1973,FSU,33477
1974,FSU,16816
1975,FSU,8531
1976,FSU,7279
1977,FSU,8348
1978,FSU,12192
1979,FSU,17614
1980,FSU,7570
1981,FSU,1770
1982,FSU,782
1983,FSU,399
1984,FSU,367
1985,FSU,362
1986,FSU,202
1987,FSU,2096
1988,FSU,2283
1989,FSU,12932
1990,FSU,185227
1991,FSU,147839
1992,FSU,65093
1993,FSU,66145
1994,FSU,68079
1995,FSU,64848
1996,FSU,59048
1997,FSU,54621
1998,FSU,46032
1999,FSU,66848
2000,FSU,50817
2001,FSU,33601
2002,FSU,18508
2003,FSU,12383
2004,FSU,10127
2005,FSU,9378
2006,FSU,533
2007,FSU,6646
2008,FSU,5616
2009,FSU,6948
2010,FSU,7158
2011,FSU,7225
2012,FSU,7234
2013,FSU,7280
2014,FSU,11456
2015,FSU,14096
2016,FSU,14668
2017,FSU,16183
2018,FSU,18887
2019,FSU,24284
2020,FSU,10975
2021,FSU,10500
2022,FSU,62759
1948,France,640
1949,France,1665
1950,France,672
1951,France,401
1952,France,246
1953,France,196
1954,France,201
1955,France,206
1956,France,199
1957,France,267
1958,France,274
1959,France,326
1960,France,371
1961,France,372
1962,France,580
1963,France,546
1964,France,731
1965,France,830
1966,France,700
1967,France,893
1968,France,2523
1969,France,5292
1970,France,4414
1971,France,3281
1972,France,2356
1973,France,1473
1974,France,1345
1975,France,1382
1976,France,1416
1977,France,1226
1978,France,1302
1979,France,1648
1980,France,1430
1981,France,1430
1982,France,1682
1983,France,2094
1984,France,1539
1985,France,1017
1986,France,927
1987,France,888
1988,France,920
1989,France,900
1990,France,864
1991,France,966
1992,France,1182
1993,France,1372
1994,France,1512
1995,France,1635
1996,France,1870
1997,France,1938
1998,France,1671
1999,France,1366
2000,France,1153
2001,France,1007
2002,France,2035
2003,France,1789
2004,France,2003
2005,France,2545
2006,France,1781
2007,France,1719
2008,France,1562
2009,France,1594
2010,France,1775
2011,France,1619
2012,France,1653
2013,France,2904
2014,France,4133
2015,France,6628
2016,France,3267
2017,France,3157
2018,France,2431
2019,France,2227
2020,France,2393
2021,France,3500
2022,France,2211
1948,UK,501
1949,UK,796
1950,UK,662
1951,UK,347
1952,UK,257
1953,UK,192
1954,UK,181
1955,UK,204
1956,UK,176
1957,UK,223
1958,UK,227
1959,UK,229
1960,UK,268
1961,UK,235
1962,UK,363
1963,UK,536
1964,UK,408
1965,UK,356
1966,UK,351
1967,UK,299
1968,UK,467
1969,UK,1763
1970,UK,1585
1971,UK,1381
1972,UK,1030
1973,UK,760
1974,UK,832
1975,UK,707
1976,UK,592
1977,UK,840
1978,UK,1005
1979,UK,1058
1980,UK,900
1981,UK,882
1982,UK,1154
1983,UK,1294
1984,UK,786
1985,UK,577
1986,UK,568
1987,UK,577
1988,UK,528
1989,UK,452
1990,UK,488
1991,UK,472
1992,UK,459
1993,UK,647
1994,UK,626
1995,UK,669
1996,UK,547
1997,UK,487
1998,UK,393
1999,UK,383
2000,UK,326
2001,UK,308
2002,UK,277
2003,UK,330
2004,UK,363
2005,UK,383
2006,UK,506
2007,UK,509
2008,UK,505
2009,UK,684
2010,UK,523
2011,UK,485
2012,UK,569
2013,UK,403
2014,UK,448
2015,UK,623
2016,UK,556
2017,UK,468
2018,UK,514
2019,UK,498
2020,UK,443
2021,UK,630
2022,UK,568
1948,Ethiopia,40
1949,Ethiopia,1
1950,Ethiopia,5
1951,Ethiopia,1
1952,Ethiopia,40
1953,Ethiopia,3
1954,Ethiopia,13
1955,Ethiopia,25
1956,Ethiopia,1
1957,Ethiopia,5
1958,Ethiopia,4
1959,Ethiopia,3
1960,Ethiopia,3
1961,Ethiopia,2
1962,Ethiopia,11
1963,Ethiopia,17
1964,Ethiopia,8
1965,Ethiopia,9
1966,Ethiopia,21
1967,Ethiopia,13
1968,Ethiopia,17
1969,Ethiopia,14
1970,Ethiopia,13
1971,Ethiopia,7
1972,Ethiopia,40
1973,Ethiopia,41
1974,Ethiopia,24
1975,Ethiopia,19
1976,Ethiopia,10
1977,Ethiopia,90
1978,Ethiopia,37
1979,Ethiopia,45
1980,Ethiopia,259
1981,Ethiopia,650
1982,Ethiopia,950
1983,Ethiopia,2393
1984,Ethiopia,8327
1985,Ethiopia,1886
1986,Ethiopia,236
1987,Ethiopia,231
1988,Ethiopia,595
1989,Ethiopia,1448
1990,Ethiopia,4121
1991,Ethiopia,20014
1992,Ethiopia,3648
1993,Ethiopia,863
1994,Ethiopia,1197
1995,Ethiopia,1312
1996,Ethiopia,1411
1997,Ethiopia,1661
1998,Ethiopia,3110
1999,Ethiopia,2290
2000,Ethiopia,2201
2001,Ethiopia,3274
2002,Ethiopia,2656
2003,Ethiopia,3029
2004,Ethiopia,3695
2005,Ethiopia,3571
2006,Ethiopia,3595
2007,Ethiopia,3585
2008,Ethiopia,1582
2009,Ethiopia,243
2010,Ethiopia,1652
2011,Ethiopia,2666
2012,Ethiopia,2432
2013,Ethiopia,1355
2014,Ethiopia,213
2015,Ethiopia,91
2016,Ethiopia,43
2017,Ethiopia,43
2018,Ethiopia,31
2019,Ethiopia,43
2020,Ethiopia,187
2021,Ethiopia,1636
2022,Ethiopia,16
1948,SouthAfrica,178
1949,SouthAfrica,228
1950,SouthAfrica,205
1951,SouthAfrica,72
1952,SouthAfrica,51
1953,SouthAfrica,46
1954,SouthAfrica,73
1955,SouthAfrica,111
1956,SouthAfrica,234
1957,SouthAfrica,96
1958,SouthAfrica,106
1959,SouthAfrica,114
1960,SouthAfrica,154
1961,SouthAfrica,116
1962,SouthAfrica,195
1963,SouthAfrica,409
1964,SouthAfrica,381
1965,SouthAfrica,310
1966,SouthAfrica,301
1967,SouthAfrica,233
1968,SouthAfrica,160
1969,SouthAfrica,715
1970,SouthAfrica,803
1971,SouthAfrica,647
1972,SouthAfrica,605
1973,SouthAfrica,577
1974,SouthAfrica,432
1975,SouthAfrica,415
1976,SouthAfrica,585
1977,SouthAfrica,1448
1978,SouthAfrica,1403
1979,SouthAfrica,978
1980,SouthAfrica,346
1981,SouthAfrica,220
1982,SouthAfrica,271
1983,SouthAfrica,324
1984,SouthAfrica,281
1985,SouthAfrica,246
1986,SouthAfrica,565
1987,SouthAfrica,737
1988,SouthAfrica,487
1989,SouthAfrica,262
1990,SouthAfrica,175
1991,SouthAfrica,135
1992,SouthAfrica,267
1993,SouthAfrica,437
1994,SouthAfrica,595
1995,SouthAfrica,287
1996,SouthAfrica,299
1997,SouthAfrica,290
1998,SouthAfrica,204
1999,SouthAfrica,228
2000,SouthAfrica,192
2001,SouthAfrica,158
2002,SouthAfrica,177
2003,SouthAfrica,88
2004,SouthAfrica,82
2005,SouthAfrica,102
2006,SouthAfrica,139
2007,SouthAfrica,159
2008,SouthAfrica,257
2009,SouthAfrica,319
2010,SouthAfrica,266
2011,SouthAfrica,202
2012,SouthAfrica,257
2013,SouthAfrica,257
2014,SouthAfrica,157
2015,SouthAfrica,189
2016,SouthAfrica,245
2017,SouthAfrica,281
2018,SouthAfrica,256
2019,SouthAfrica,343
2020,SouthAfrica,268
2021,SouthAfrica,550
2022,SouthAfrica,419
1948,Argentina,62
1949,Argentina,326
1950,Argentina,435
1951,Argentina,325
1952,Argentina,291
1953,Argentina,427
1954,Argentina,398
1955,Argentina,363
1956,Argentina,505
1957,Argentina,665
1958,Argentina,515
1959,Argentina,420
1960,Argentina,337
1961,Argentina,495
1962,Argentina,693
1963,Argentina,4255
1964,Argentina,1998
1965,Argentina,1154
1966,Argentina,664
1967,Argentina,547
1968,Argentina,559
1969,Argentina,1274
1970,Argentina,1457
1971,Argentina,2107
1972,Argentina,2598
1973,Argentina,2809
1974,Argentina,1625
1975,Argentina,892
1976,Argentina,1616
1977,Argentina,2158
1978,Argentina,1960
1979,Argentina,1577
1980,Argentina,1036
1981,Argentina,949
1982,Argentina,1165
1983,Argentina,1283
1984,Argentina,841
1985,Argentina,836
1986,Argentina,772
1987,Argentina,1078
1988,Argentina,1546
1989,Argentina,1853
1990,Argentina,2045
1991,Argentina,666
1992,Argentina,356
1993,Argentina,375
1994,Argentina,538
1995,Argentina,966
1996,Argentina,1370
1997,Argentina,1255
1998,Argentina,738
1999,Argentina,936
2000,Argentina,1053
2001,Argentina,1375
2002,Argentina,5931
2003,Argentina,1371
2004,Argentina,458
2005,Argentina,397
2006,Argentina,299
2007,Argentina,315
2008,Argentina,188
2009,Argentina,311
2010,Argentina,351
2011,Argentina,220
2012,Argentina,693
2013,Argentina,693
2014,Argentina,276
2015,Argentina,262
2016,Argentina,270
2017,Argentina,247
2018,Argentina,283
2019,Argentina,411
2020,Argentina,544
2021,Argentina,900
2022,Argentina,958
