Year,Month,Facility,Total,Sentence,Detainees,Combatants,Legal Proceedings,Admin
2023,Sept.          ,IPS   ,4764,2222,115,0,1117,1310
2023,Sept.          ,IDF   ,0,0,0,0,0,0
2023,August         ,IPS   ,4641,2179,123,0,1095,1244
2023,August         ,IDF   ,0,0,0,0,0,0
2023,July           ,IPS   ,4563,2167,78,0,1128,1190
2023,July           ,IDF   ,0,0,0,0,0,0
2023,June           ,IPS   ,4499,2139,85,0,1158,1117
2023,June           ,IDF   ,412,0,347,0,0,65
2023,May            ,IPS   ,4445,2153,84,0,1144,1064
2023,May            ,IDF   ,375,0,330,0,0,45
2023,April          ,IPS   ,4391,2162,115,0,1117,997
2023,April          ,IDF   ,222,0,205,0,0,17
2023,March          ,IPS   ,4407,2252,106,0,1047,1002
2023,March          ,IDF   ,392,0,338,0,0,54
2023,Feb.           ,IPS   ,4355,2244,98,0,1068,945
2023,Feb.           ,IDF   ,370,0,321,0,0,49
2023,Jan.           ,IPS   ,4336,2237,127,0,1066,906
2023,Jan.           ,IDF   ,416,0,366,0,0,50
2023,Sept.          ,IPS   ,932,534,398,0,0,0
2023,Sept.          ,IDF   ,0,0,0,0,0,0
2023,August         ,IPS   ,930,524,406,0,0,0
2023,August         ,IDF   ,0,0,0,0,0,0
2023,July           ,IPS   ,877,563,314,0,0,0
2023,July           ,IDF   ,0,0,0,0,0,0
2023,June           ,IPS   ,850,483,367,0,0,0
2023,June           ,IDF   ,249,0,249,0,0,0
2023,May            ,IPS   ,867,498,369,0,0,0
2023,May            ,IDF   ,192,0,192,0,0,0
2023,April          ,IPS   ,832,422,410,0,0,0
2023,April          ,IDF   ,90,0,90,0,0,0
2023,March          ,IPS   ,839,433,406,0,0,0
2023,March          ,IDF   ,221,0,221,0,0,0
2023,Feb.           ,IPS   ,860,413,447,0,0,0
2023,Feb.           ,IDF   ,204,0,204,0,0,0
2023,Jan.           ,IPS   ,794,373,421,0,0,0
2023,Jan.           ,IDF   ,242,0,242,0,0,0
2022,Dec.           ,IPS   ,0,0,0,0,0,0
2022,Dec.           ,IDF   ,0,0,0,0,0,0
2022,Nov.           ,IPS   ,0,0,0,0,0,0
2022,Nov.           ,IDF   ,0,0,0,0,0,0
2022,Oct.           ,IPS   ,0,0,0,0,0,0
2022,Oct.           ,IDF   ,0,0,0,0,0,0
2022,Sept.          ,IPS   ,4241,2262,105,0,1090,784
2022,Sept.          ,IDF   ,0,0,0,0,0,0
2022,August         ,IPS   ,4149,2274,96,0,1053,726
2022,August         ,IDF   ,0,0,0,0,0,0
2022,July           ,IPS   ,4100,2295,120,0,1025,660
2022,July           ,IDF   ,0,0,0,0,0,0
2022,June           ,IPS   ,4112,2334,135,0,1011,632
2022,June           ,IDF   ,0,0,0,0,0,0
2022,May            ,IPS   ,4154,2314,197,0,1029,614
2022,May            ,IDF   ,0,0,0,0,0,0
2022,April          ,IPS   ,4173,2335,245,0,1005,588
2022,April          ,IDF   ,0,0,0,0,0,0
2022,March          ,IPS   ,3983,2381,169,0,926,507
2022,March          ,IDF   ,193,0,158,0,0,35
2022,Feb.           ,IPS   ,3949,2388,142,0,950,469
2022,Feb.           ,IDF   ,144,0,140,0,0,4
2022,Jan.           ,IPS   ,4001,2394,144,0,978,485
2022,Jan.           ,IDF   ,185,0,170,0,0,15
2022,Dec.           ,IPS   ,0,0,0,0,0,0
2022,Dec.           ,IDF   ,0,0,0,0,0,0
2022,Nov.           ,IPS   ,0,0,0,0,0,0
2022,Nov.           ,IDF   ,0,0,0,0,0,0
2022,Oct.           ,IPS   ,0,0,0,0,0,0
2022,Oct.           ,IDF   ,0,0,0,0,0,0
2022,Sept.          ,IPS   ,647,336,311,0,0,0
2022,Sept.          ,IDF   ,0,0,0,0,0,0
2022,August         ,IPS   ,675,347,328,0,0,0
2022,August         ,IDF   ,0,0,0,0,0,0
2022,July           ,IPS   ,675,379,296,0,0,0
2022,July           ,IDF   ,0,0,0,0,0,0
2022,June           ,IPS   ,678,376,302,0,0,0
2022,June           ,IDF   ,0,0,0,0,0,0
2022,May            ,IPS   ,729,384,345,0,0,0
2022,May            ,IDF   ,0,0,0,0,0,0
2022,April          ,IPS   ,737,374,363,0,0,0
2022,April          ,IDF   ,0,0,0,0,0,0
2022,March          ,IPS   ,702,349,353,0,0,0
2022,March          ,IDF   ,1,0,1,0,0,0
2022,Feb.           ,IPS   ,658,345,313,0,0,0
2022,Feb.           ,IDF   ,7,0,7,0,0,0
2022,Jan.           ,IPS   ,624,363,261,0,0,0
2022,Jan.           ,IDF   ,6,0,6,0,0,0
2021,Dec.           ,IPS   ,4018,2413,103,0,1007,495
2021,Dec.           ,IDF   ,159,0,139,0,0,20
2021,Nov.           ,IPS   ,4087,2412,121,0,1063,491
2021,Nov.           ,IDF   ,162,0,139,0,0,23
2021,Oct.           ,IPS   ,4093,2399,100,0,1115,479
2021,Oct.           ,IDF   ,147,0,141,0,0,6
2021,Sept.          ,IPS   ,0,0,0,0,0,0
2021,Sept.          ,IDF   ,112,0,97,0,0,15
2021,August         ,IPS   ,0,0,0,0,0,0
2021,August         ,IDF   ,135,0,131,0,0,4
2021,July           ,IPS   ,0,0,0,0,0,0
2021,July           ,IDF   ,158,0,145,0,0,13
2021,June           ,IPS   ,0,0,0,0,0,0
2021,June           ,IDF   ,191,0,165,0,0,26
2021,May            ,IPS   ,0,0,0,0,0,0
2021,May            ,IDF   ,229,0,172,0,0,57
2021,April          ,IPS   ,0,0,0,0,0,0
2021,April          ,IDF   ,114,0,105,0,0,9
2021,March          ,IPS   ,0,0,0,0,0,0
2021,March          ,IDF   ,150,0,140,0,0,10
2021,Feb.           ,IPS   ,0,0,0,0,0,0
2021,Feb.           ,IDF   ,152,0,142,0,0,10
2021,Jan.           ,IPS   ,0,0,0,0,0,0
2021,Jan.           ,IDF   ,150,0,139,0,0,11
2021,Dec.           ,IPS   ,653,402,251,0,0,0
2021,Dec.           ,IDF   ,0,0,0,0,0,0
2021,Nov.           ,IPS   ,635,373,262,0,0,0
2021,Nov.           ,IDF   ,0,0,0,0,0,0
2021,Oct.           ,IPS   ,630,350,280,0,0,0
2021,Oct.           ,IDF   ,0,0,0,0,0,0
2021,Sept.          ,IPS   ,0,0,0,0,0,0
2021,Sept.          ,IDF   ,0,0,0,0,0,0
2021,August         ,IPS   ,0,0,0,0,0,0
2021,August         ,IDF   ,0,0,0,0,0,0
2021,July           ,IPS   ,0,0,0,0,0,0
2021,July           ,IDF   ,0,0,0,0,0,0
2021,June           ,IPS   ,0,0,0,0,0,0
2021,June           ,IDF   ,1,0,1,0,0,0
2021,May            ,IPS   ,0,0,0,0,0,0
2021,May            ,IDF   ,1,0,1,0,0,0
2021,April          ,IPS   ,0,0,0,0,0,0
2021,April          ,IDF   ,0,0,0,0,0,0
2021,March          ,IPS   ,0,0,0,0,0,0
2021,March          ,IDF   ,3,0,3,0,0,0
2021,Feb.           ,IPS   ,0,0,0,0,0,0
2021,Feb.           ,IDF   ,2,0,2,0,0,0
2021,Jan.           ,IPS   ,0,0,0,0,0,0
2021,Jan.           ,IDF   ,6,0,6,0,0,0
2020,Dec.           ,IPS   ,0,0,0,0,0,0
2020,Dec.           ,IDF   ,125,0,99,0,0,26
2020,Nov.           ,IPS   ,0,0,0,0,0,0
2020,Nov.           ,IDF   ,112,0,98,0,0,14
2020,Oct.           ,IPS   ,0,0,0,0,0,0
2020,Oct.           ,IDF   ,149,0,125,0,0,24
2020,Sept.          ,IPS   ,4184,2634,159,0,990,376
2020,Sept.          ,IDF   ,107,0,80,0,0,27
2020,August         ,IPS   ,4207,2643,161,0,1026,355
2020,August         ,IDF   ,160,0,138,0,0,22
2020,July           ,IPS   ,4226,2738,168,0,957,334
2020,July           ,IDF   ,183,0,163,0,0,20
2020,June           ,IPS   ,4279,2771,175,0,944,357
2020,June           ,IDF   ,171,0,158,0,0,13
2020,May            ,IPS   ,4236,2738,131,0,991,352
2020,May            ,IDF   ,87,0,69,0,0,18
2020,April          ,IPS   ,4331,2758,105,0,1089,372
2020,April          ,IDF   ,43,0,39,0,0,4
2020,March          ,IPS   ,4488,2846,111,0,1107,424
2020,March          ,IDF   ,65,0,63,0,0,2
2020,Feb.           ,IPS   ,4534,2873,182,0,1049,429
2020,Feb.           ,IDF   ,107,0,107,0,0,0
2020,Jan.           ,IPS   ,4520,2850,185,0,1051,431
2020,Jan.           ,IDF   ,136,0,136,0,0,0
2020,Dec.           ,IPS   ,0,0,0,0,0,0
2020,Dec.           ,IDF   ,0,0,0,0,0,0
2020,Nov.           ,IPS   ,0,0,0,0,0,0
2020,Nov.           ,IDF   ,5,0,5,0,0,0
2020,Oct.           ,IPS   ,0,0,0,0,0,0
2020,Oct.           ,IDF   ,2,0,2,0,0,0
2020,Sept.          ,IPS   ,545,359,186,0,0,0
2020,Sept.          ,IDF   ,2,0,2,0,0,0
2020,August         ,IPS   ,575,360,212,0,0,0
2020,August         ,IDF   ,5,0,5,0,0,0
2020,July           ,IPS   ,522,363,159,0,0,0
2020,July           ,IDF   ,0,0,0,0,0,0
2020,June           ,IPS   ,546,381,165,0,0,0
2020,June           ,IDF   ,0,0,0,0,0,0
2020,May            ,IPS   ,479,317,161,0,0,0
2020,May            ,IDF   ,12,0,12,0,0,0
2020,April          ,IPS   ,434,329,105,0,0,0
2020,April          ,IDF   ,0,0,0,0,0,0
2020,March          ,IPS   ,459,331,128,0,0,0
2020,March          ,IDF   ,0,0,0,0,0,0
2020,Feb.           ,IPS   ,544,328,216,0,0,0
2020,Feb.           ,IDF   ,0,0,0,0,0,0
2020,Jan.           ,IPS   ,527,343,184,0,0,0
2020,Jan.           ,IDF   ,0,0,0,0,0,0
2019,Dec.           ,IPS   ,4544,2855,197,0,1027,464
2019,Dec.           ,IDF   ,115,0,115,0,0,0
2019,Nov.           ,IPS   ,4638,2873,166,0,1141,458
2019,Nov.           ,IDF   ,86,0,86,0,0,0
2019,Oct.           ,IPS   ,4731,2840,370,0,1061,460
2019,Oct.           ,IDF   ,95,0,95,0,0,0
2019,Sept.          ,IPS   ,4792,2838,236,0,1281,437
2019,Sept.          ,IDF   ,181,0,181,0,0,0
2019,August         ,IPS   ,4787,2851,203,0,1320,413
2019,August         ,IDF   ,135,0,135,0,0,0
2019,July           ,IPS   ,4929,2913,224,0,1338,454
2019,July           ,IDF   ,162,0,162,0,0,0
2019,June           ,IPS   ,4880,2899,179,0,1369,433
2019,June           ,IDF   ,125,0,125,0,0,0
2019,May            ,IPS   ,5106,2924,248,0,1448,486
2019,May            ,IDF   ,146,0,146,0,0,0
2019,April          ,IPS   ,5152,2975,226,0,1472,479
2019,April          ,IDF   ,144,0,144,0,0,0
2019,March          ,IPS   ,5197,3012,238,0,1461,486
2019,March          ,IDF   ,113,0,113,0,0,0
2019,Feb.           ,IPS   ,5248,3090,244,0,1419,495
2019,Feb.           ,IDF   ,106,0,106,0,0,0
2019,Jan.           ,IPS   ,5298,3147,233,0,1427,491
2019,Jan.           ,IDF   ,153,0,153,0,0,0
2019,Dec.           ,IPS   ,484,336,148,0,0,0
2019,Dec.           ,IDF   ,4,0,4,0,0,0
2019,Nov.           ,IPS   ,488,318,170,0,0,0
2019,Nov.           ,IDF   ,5,0,5,0,0,0
2019,Oct.           ,IPS   ,472,311,161,0,0,0
2019,Oct.           ,IDF   ,17,0,17,0,0,0
2019,Sept.          ,IPS   ,579,369,210,0,0,0
2019,Sept.          ,IDF   ,1,0,1,0,0,0
2019,August         ,IPS   ,629,366,263,0,0,0
2019,August         ,IDF   ,0,0,0,0,0,0
2019,July           ,IPS   ,554,356,198,0,0,0
2019,July           ,IDF   ,1,0,1,0,0,0
2019,June           ,IPS   ,524,325,199,0,0,0
2019,June           ,IDF   ,6,0,6,0,0,0
2019,May            ,IPS   ,546,332,214,0,0,0
2019,May            ,IDF   ,1,0,1,0,0,0
2019,April          ,IPS   ,555,345,210,0,0,0
2019,April          ,IDF   ,0,0,0,0,0,0
2019,March          ,IPS   ,633,393,240,0,0,0
2019,March          ,IDF   ,8,0,8,0,0,0
2019,Feb.           ,IPS   ,645,399,246,0,0,0
2019,Feb.           ,IDF   ,5,0,5,0,0,0
2019,Jan.           ,IPS   ,657,391,266,0,0,0
2019,Jan.           ,IDF   ,15,0,15,0,0,0
2018,Dec.           ,IPS   ,5370,3207,240,0,1429,494
2018,Dec.           ,IDF   ,132,0,132,0,0,0
2018,Nov.           ,IPS   ,5362,3188,218,0,1487,469
2018,Nov.           ,IDF   ,125,0,125,0,0,0
2018,Oct.           ,IPS   ,5426,3224,256,0,1465,481
2018,Oct.           ,IDF   ,153,0,153,0,0,0
2018,Sept.          ,IPS   ,5436,3168,223,0,1564,481
2018,Sept.          ,IDF   ,111,0,111,0,0,0
2018,August         ,IPS   ,5493,3295,225,0,1508,465
2018,August         ,IDF   ,125,0,125,0,0,0
2018,July           ,IPS   ,5626,3383,259,0,1522,462
2018,July           ,IDF   ,131,0,131,0,0,0
2018,June           ,IPS   ,5667,3329,241,0,1651,446
2018,June           ,IDF   ,154,0,152,0,0,2
2018,May            ,IPS   ,5732,3352,266,0,1674,440
2018,May            ,IDF   ,176,0,176,0,0,0
2018,April          ,IPS   ,5772,3376,295,0,1677,424
2018,April          ,IDF   ,120,0,120,0,0,0
2018,March          ,IPS   ,5867,3478,291,0,1667,431
2018,March          ,IDF   ,171,0,171,0,0,0
2018,Feb.           ,IPS   ,5890,3499,273,0,1691,427
2018,Feb.           ,IDF   ,191,0,191,0,0,0
2018,Jan.           ,IPS   ,5951,3492,301,0,1713,445
2018,Jan.           ,IDF   ,154,0,154,0,0,0
2018,Dec.           ,IPS   ,564,362,202,0,0,0
2018,Dec.           ,IDF   ,3,0,3,0,0,0
2018,Nov.           ,IPS   ,709,489,220,0,0,0
2018,Nov.           ,IDF   ,3,0,3,0,0,0
2018,Oct.           ,IPS   ,678,461,217,0,0,0
2018,Oct.           ,IDF   ,7,0,7,0,0,0
2018,Sept.          ,IPS   ,685,440,245,0,0,0
2018,Sept.          ,IDF   ,2,0,2,0,0,0
2018,August         ,IPS   ,743,489,254,0,0,0
2018,August         ,IDF   ,5,0,5,0,0,0
2018,July           ,IPS   ,741,535,206,0,0,0
2018,July           ,IDF   ,13,0,13,0,0,0
2018,June           ,IPS   ,682,467,215,0,0,0
2018,June           ,IDF   ,2,0,2,0,0,0
2018,May            ,IPS   ,727,515,212,0,0,0
2018,May            ,IDF   ,8,0,8,0,0,0
2018,April          ,IPS   ,773,544,229,0,0,0
2018,April          ,IDF   ,6,0,6,0,0,0
2018,March          ,IPS   ,917,655,262,0,0,0
2018,March          ,IDF   ,6,0,6,0,0,0
2018,Feb.           ,IPS   ,880,611,269,0,0,0
2018,Feb.           ,IDF   ,13,0,13,0,0,0
2018,Jan.           ,IPS   ,887,604,283,0,0,0
2018,Jan.           ,IDF   ,9,0,9,0,0,0
2017,Dec.           ,IPS   ,5976,3458,318,0,1763,437
2017,Dec.           ,IDF   ,226,0,226,0,0,0
2017,Nov.           ,IPS   ,5881,3409,272,0,1775,425
2017,Nov.           ,IDF   ,148,0,148,0,0,0
2017,Oct.           ,IPS   ,5943,3293,324,0,1879,447
2017,Oct.           ,IDF   ,124,0,124,0,0,0
2017,Sept.          ,IPS   ,5989,3362,296,0,1879,452
2017,Sept.          ,IDF   ,156,0,156,0,0,0
2017,August         ,IPS   ,5898,3314,285,0,1864,435
2017,August         ,IDF   ,154,0,154,0,0,0
2017,July           ,IPS   ,6050,3361,424,0,1807,458
2017,July           ,IDF   ,254,0,253,0,0,1
2017,June           ,IPS   ,5915,3327,262,1,1881,444
2017,June           ,IDF   ,130,0,130,0,0,0
2017,May            ,IPS   ,6020,3389,341,2,1813,475
2017,May            ,IDF   ,242,0,242,0,0,0
2017,April          ,IPS   ,5954,3505,297,2,1664,486
2017,April          ,IDF   ,162,0,162,0,0,0
2017,March          ,IPS   ,5978,3630,274,2,1580,492
2017,March          ,IDF   ,210,0,210,0,0,0
2017,Feb.           ,IPS   ,5973,3608,272,1,1578,514
2017,Feb.           ,IDF   ,220,0,220,0,0,0
2017,Jan.           ,IPS   ,5986,3589,264,0,1602,531
2017,Jan.           ,IDF   ,277,0,277,0,0,0
2017,Dec.           ,IPS   ,773,522,251,0,0,0
2017,Dec.           ,IDF   ,2,0,2,0,0,0
2017,Nov.           ,IPS   ,730,526,204,0,0,0
2017,Nov.           ,IDF   ,4,0,4,0,0,0
2017,Oct.           ,IPS   ,734,516,218,0,0,0
2017,Oct.           ,IDF   ,6,0,6,0,0,0
2017,Sept.          ,IPS   ,800,554,246,0,0,0
2017,Sept.          ,IDF   ,21,0,21,0,0,0
2017,August         ,IPS   ,803,541,262,0,0,0
2017,August         ,IDF   ,17,0,17,0,0,0
2017,July           ,IPS   ,846,611,235,0,0,0
2017,July           ,IDF   ,19,0,19,0,0,0
2017,June           ,IPS   ,746,521,225,0,0,0
2017,June           ,IDF   ,10,0,10,0,0,0
2017,May            ,IPS   ,811,556,255,0,0,0
2017,May            ,IDF   ,21,0,21,0,0,0
2017,April          ,IPS   ,828,556,272,0,0,0
2017,April          ,IDF   ,9,0,9,0,0,0
2017,March          ,IPS   ,925,593,332,0,0,0
2017,March          ,IDF   ,11,0,11,0,0,0
2017,Feb.           ,IPS   ,898,586,312,0,0,0
2017,Feb.           ,IDF   ,12,0,12,0,0,0
2017,Jan.           ,IPS   ,872,550,322,0,0,0
2017,Jan.           ,IDF   ,9,0,9,0,0,0
2016,Dec.           ,IPS   ,5943,3561,253,0,1594,535
2016,Dec.           ,IDF   ,146,0,146,0,0,0
2016,Nov.           ,IPS   ,5979,3542,248,0,1613,576
2016,Nov.           ,IDF   ,181,0,180,0,0,1
2016,Oct.           ,IPS   ,6065,3474,310,0,1683,598
2016,Oct.           ,IDF   ,143,0,142,0,0,1
2016,Sept.          ,IPS   ,6029,3547,246,0,1628,608
2016,Sept.          ,IDF   ,189,0,183,0,0,6
2016,August         ,IPS   ,5988,3530,235,1,1578,644
2016,August         ,IDF   ,209,0,207,0,0,2
2016,July           ,IPS   ,6068,3516,227,1,1682,642
2016,July           ,IDF   ,194,0,194,0,0,0
2016,June           ,IPS   ,6108,3528,227,1,1667,685
2016,June           ,IDF   ,197,0,196,0,0,1
2016,May            ,IPS   ,6189,3601,219,1,1690,678
2016,May            ,IDF   ,178,0,173,0,0,5
2016,April          ,IPS   ,6295,3580,249,1,1773,692
2016,April          ,IDF   ,168,0,166,0,0,2
2016,March          ,IPS   ,6313,3589,278,1,1757,688
2016,March          ,IDF   ,369,0,334,0,0,35
2016,Feb.           ,IPS   ,6204,3520,321,1,1735,627
2016,Feb.           ,IDF   ,285,0,252,0,0,33
2016,Jan.           ,IPS   ,6072,3497,256,1,1750,568
2016,Jan.           ,IDF   ,241,0,230,0,0,11
2016,Dec.           ,IPS   ,757,501,256,0,0,0
2016,Dec.           ,IDF   ,11,0,11,0,0,0
2016,Nov.           ,IPS   ,792,530,262,0,0,0
2016,Nov.           ,IDF   ,6,0,6,0,0,0
2016,Oct.           ,IPS   ,777,493,284,0,0,0
2016,Oct.           ,IDF   ,10,0,10,0,0,0
2016,Sept.          ,IPS   ,818,546,272,0,0,0
2016,Sept.          ,IDF   ,14,0,14,0,0,0
2016,August         ,IPS   ,910,568,342,0,0,0
2016,August         ,IDF   ,22,0,22,0,0,0
2016,July           ,IPS   ,894,582,312,0,0,0
2016,July           ,IDF   ,31,0,31,0,0,0
2016,June           ,IPS   ,781,500,281,0,0,0
2016,June           ,IDF   ,18,0,18,0,0,0
2016,May            ,IPS   ,763,524,239,0,0,0
2016,May            ,IDF   ,3,0,3,0,0,0
2016,April          ,IPS   ,749,533,216,0,0,0
2016,April          ,IDF   ,4,0,4,0,0,0
2016,March          ,IPS   ,0,0,0,0,0,0
2016,March          ,IDF   ,3,0,3,0,0,0
2016,Feb.           ,IPS   ,874,617,257,0,0,0
2016,Feb.           ,IDF   ,2,0,2,0,0,0
2016,Jan.           ,IPS   ,873,635,238,0,0,0
2016,Jan.           ,IDF   ,7,0,7,0,0,0
2015,Dec.           ,IPS   ,6066,3445,297,0,1740,584
2015,Dec.           ,IDF   ,255,0,238,0,0,17
2015,Nov.           ,IPS   ,5936,3357,357,0,1695,527
2015,Nov.           ,IDF   ,357,0,332,0,0,25
2015,Oct.           ,IPS   ,5683,3358,383,0,1513,429
